,review_id,verified,review_score,product_category,reason_for_exclusion
0,product_review_000000,True,5.0,prime_pantry,"product_review_000000,0,N/A"
1,product_review_000001,True,4.0,prime_pantry,"product_review_000001,0,N/A"
2,product_review_000002,False,1.0,prime_pantry,"product_review_000002,0,N/A"
3,product_review_000003,True,5.0,prime_pantry,"product_review_000003,0,N/A"
4,product_review_000004,True,2.0,prime_pantry,"product_review_000004,0,N/A"
5,product_review_000005,True,5.0,prime_pantry,"product_review_000005,0,N/A"
6,product_review_000006,True,5.0,prime_pantry,"product_review_000006,0,N/A"
7,product_review_000007,True,1.0,prime_pantry,"product_review_000007,0,N/A"
8,product_review_000008,False,5.0,prime_pantry,"product_review_000008,0,N/A"
9,product_review_000009,True,5.0,luxury_beauty,"product_review_000009,0,N/A"
10,product_review_000010,True,5.0,prime_pantry,"product_review_000010,0,N/A"
11,product_review_000011,True,5.0,prime_pantry,"product_review_000011,0,N/A"
12,product_review_000012,False,5.0,prime_pantry,"product_review_000012,0,N/A"
13,product_review_000013,True,5.0,prime_pantry,"product_review_000013,0,N/A"
14,product_review_000014,False,4.0,prime_pantry,"product_review_000014,0,N/A"
15,product_review_000015,True,5.0,prime_pantry,"product_review_000015,0,N/A"
16,product_review_000016,True,5.0,prime_pantry,"product_review_000016,0,N/A"
17,product_review_000017,True,5.0,prime_pantry,"product_review_000017,0,N/A"
18,product_review_000018,True,3.0,prime_pantry,"product_review_000018,0,N/A"
19,product_review_000019,True,4.0,prime_pantry,"product_review_000019,0,N/A"
20,product_review_000020,True,5.0,prime_pantry,"product_review_000020,0,N/A"
21,product_review_000021,True,5.0,prime_pantry,"product_review_000021,0,N/A"
22,product_review_000022,True,-1.0,prime_pantry,"product_review_000022,0,N/A"
23,product_review_000023,False,5.0,prime_pantry,"product_review_000023,0,N/A"
24,product_review_000024,False,5.0,prime_pantry,"product_review_000024,0,N/A"
25,product_review_000025,True,5.0,prime_pantry,"product_review_000025,0,N/A"
26,product_review_000026,True,4.0,prime_pantry,"product_review_000026,0,N/A"
27,product_review_000027,False,4.0,luxury_beauty,"product_review_000027,0,N/A"
28,product_review_000028,False,4.0,luxury_beauty,"product_review_000028,0,N/A"
29,product_review_000029,False,4.0,luxury_beauty,"product_review_000029,0,N/A"
30,product_review_000030,False,5.0,luxury_beauty,"product_review_000030,0,N/A"
31,product_review_000031,True,2.0,prime_pantry,"product_review_000031,0,N/A"
32,product_review_000032,True,5.0,prime_pantry,"product_review_000032,0,N/A"
33,product_review_000033,False,4.0,luxury_beauty,"product_review_000033,0,N/A"
34,product_review_000034,True,5.0,prime_pantry,"product_review_000034,0,N/A"
35,product_review_000035,True,5.0,prime_pantry,"product_review_000035,0,N/A"
36,product_review_000036,False,4.0,luxury_beauty,"product_review_000036,0,N/A"
37,product_review_000037,False,5.0,prime_pantry,"product_review_000037,0,N/A"
38,product_review_000038,True,5.0,prime_pantry,"product_review_000038,0,N/A"
39,product_review_000039,True,4.0,prime_pantry,"product_review_000039,0,N/A"
40,product_review_000040,True,5.0,luxury_beauty,"product_review_000040,0,N/A"
41,product_review_000041,True,5.0,luxury_beauty,"product_review_000041,0,N/A"
42,product_review_000042,True,5.0,prime_pantry,"product_review_000042,0,N/A"
43,product_review_000043,True,5.0,prime_pantry,"product_review_000043,0,N/A"
44,product_review_000044,False,5.0,luxury_beauty,"product_review_000044,0,N/A"
45,product_review_000045,False,5.0,luxury_beauty,"product_review_000045,0,N/A"
46,product_review_000046,True,5.0,prime_pantry,"product_review_000046,0,N/A"
47,product_review_000047,False,3.0,prime_pantry,"product_review_000047,0,N/A"
48,product_review_000048,False,5.0,prime_pantry,"product_review_000048,0,N/A"
49,product_review_000049,False,5.0,prime_pantry,"product_review_000049,0,N/A"
50,product_review_000050,True,5.0,prime_pantry,"product_review_000050,0,N/A"
51,product_review_000051,False,5.0,luxury_beauty,"product_review_000051,0,N/A"
52,product_review_000052,True,5.0,prime_pantry,"product_review_000052,0,N/A"
53,product_review_000053,True,5.0,prime_pantry,"product_review_000053,0,N/A"
54,product_review_000054,True,5.0,prime_pantry,"product_review_000054,0,N/A"
55,product_review_000055,True,5.0,prime_pantry,"product_review_000055,0,N/A"
56,product_review_000056,True,5.0,prime_pantry,"product_review_000056,0,N/A"
57,product_review_000057,True,5.0,prime_pantry,"product_review_000057,0,N/A"
58,product_review_000058,False,5.0,prime_pantry,"product_review_000058,0,N/A"
59,product_review_000059,False,-1.0,prime_pantry,"product_review_000059,0,N/A"
60,product_review_000060,True,4.0,prime_pantry,"product_review_000060,0,N/A"
61,product_review_000061,False,4.0,luxury_beauty,"product_review_000061,0,N/A"
62,product_review_000062,True,3.0,prime_pantry,"product_review_000062,0,N/A"
63,product_review_000063,True,5.0,luxury_beauty,"product_review_000063,0,N/A"
64,product_review_000064,True,1.0,prime_pantry,"product_review_000064,0,N/A"
